node_id,state,tilt,displacement,crack_width,vibration,load_change,temperature,humidity,battery,rate_tilt_5m,rate_disp_5m,rate_crack_5m,risk_score,risk_level
N6,NORMAL,0.61,1.57,0.84,0.15,2.6,24.6,94.4,65.8,0.041,0.058,0.0,10.3,LOW
N5,WARNING,2.13,7.64,1.59,0.661,29.55,36.6,72.0,81.9,0.297,0.297,0.093,49.0,MEDIUM
N2,NORMAL,0.88,0.83,0.94,0.127,-1.67,34.2,67.7,74.0,0.007,0.019,0.005,9.3,LOW
N1,NORMAL,1.1,1.48,0.27,0.173,-0.29,34.7,80.2,92.6,0.045,0.073,0.015,9.7,LOW
N3,WARNING,3.12,4.48,2.2,0.687,20.74,24.4,73.3,80.1,0.267,0.539,0.157,48.6,MEDIUM
N6,WARNING,2.55,5.97,3.15,0.554,30.46,30.7,73.0,75.2,0.124,0.549,0.032,51.0,HIGH
N3,WARNING,2.02,2.83,2.4,0.747,13.97,25.3,71.5,91.3,0.234,0.483,0.095,40.5,MEDIUM
N5,WARNING,1.84,3.29,1.99,0.513,26.1,24.1,76.9,83.5,0.147,0.449,0.125,39.9,MEDIUM
N3,NORMAL,0.73,1.92,0.67,0.064,-0.21,37.3,81.3,72.3,0.023,0.073,0.002,10.7,LOW
N2,NORMAL,0.86,0.3,0.48,0.098,-0.87,29.1,68.0,93.9,0.042,0.08,0.003,6.5,LOW
N3,NORMAL,0.46,1.21,0.32,0.07,3.23,31.2,65.9,62.6,0.037,0.052,0.013,8.4,LOW
N4,NORMAL,0.52,1.92,0.91,0.025,0.58,26.9,86.3,89.3,0.011,0.082,0.017,8.0,LOW
N2,SUBSIDENCE,5.0,24.05,15.17,0.84,65.34,32.8,66.1,61.2,0.532,2.805,1.304,100.0,CRITICAL
N6,NORMAL,0.77,0.95,0.57,0.046,3.44,33.3,73.4,90.5,0.043,0.089,0.006,8.9,LOW
N1,NORMAL,0.23,1.95,0.44,0.157,3.17,37.5,88.0,99.6,0.019,0.09,0.006,9.2,LOW
N1,NORMAL,0.16,0.83,0.74,0.168,-1.8,34.7,75.2,60.1,0.0,0.026,0.017,5.0,LOW
N5,SUBSIDENCE,8.21,16.8,17.42,2.29,85.9,36.3,73.0,95.7,1.578,2.782,0.67,100.0,CRITICAL
N5,NORMAL,0.18,2.12,0.09,0.029,0.54,26.1,75.6,73.5,0.048,0.098,0.004,3.6,LOW
N4,NORMAL,0.94,1.22,0.78,0.14,2.05,34.5,72.3,60.1,0.042,0.02,0.003,11.1,LOW
N6,NORMAL,1.1,1.63,0.44,0.136,0.33,34.9,79.1,90.2,0.048,0.007,0.013,9.6,LOW
N1,WARNING,3.33,6.59,1.93,0.5,32.35,25.7,66.8,98.1,0.162,0.577,0.127,51.9,HIGH
N1,NORMAL,0.77,0.44,0.86,0.104,3.4,34.3,65.9,72.6,0.006,0.091,0.012,11.7,LOW
N1,SUBSIDENCE,5.77,43.14,7.34,3.189,38.21,36.6,93.6,96.7,0.597,2.053,1.243,100.0,CRITICAL
N1,SUBSIDENCE,4.19,38.71,12.12,3.737,41.7,25.9,68.7,77.8,1.534,1.391,0.667,100.0,CRITICAL
N3,NORMAL,1.0,1.98,0.24,0.044,0.72,25.2,79.1,65.1,0.044,0.009,0.011,7.6,LOW
N6,WARNING,1.38,3.55,1.77,0.337,24.36,36.2,83.9,89.2,0.064,0.157,0.063,28.4,MEDIUM
N2,SUBSIDENCE,6.65,15.89,4.68,2.435,78.07,31.4,69.8,70.3,1.646,4.064,0.781,100.0,CRITICAL
N2,WARNING,3.33,3.28,3.91,0.468,18.7,29.2,72.9,62.7,0.094,0.563,0.126,44.8,MEDIUM
N4,NORMAL,0.67,0.92,0.71,0.136,0.32,24.2,69.5,69.8,0.033,0.026,0.015,10.2,LOW
N3,NORMAL,0.95,0.35,0.19,0.077,-1.94,24.4,73.1,89.3,0.038,0.056,0.018,6.0,LOW
N1,WARNING,2.75,3.84,2.79,0.632,6.0,31.5,66.0,76.1,0.229,0.276,0.238,40.8,MEDIUM
N1,NORMAL,1.16,1.88,0.3,0.112,2.19,29.6,70.7,90.9,0.001,0.018,0.011,10.1,LOW
N5,WARNING,2.32,4.2,1.49,0.528,24.99,36.7,75.6,68.4,0.217,0.254,0.157,42.1,MEDIUM
N5,SUBSIDENCE,10.06,14.54,8.57,1.097,55.09,32.7,82.6,74.9,0.916,1.037,1.34,100.0,CRITICAL
N4,SUBSIDENCE,9.19,23.98,17.7,3.584,85.39,27.1,68.5,97.9,1.037,3.694,0.868,100.0,CRITICAL
N1,NORMAL,0.33,2.08,0.25,0.089,2.58,31.6,82.0,64.2,0.008,0.074,0.014,8.6,LOW
N4,NORMAL,0.58,0.4,0.31,0.164,2.02,32.3,87.7,65.5,0.037,0.057,0.004,10.5,LOW
N3,SUBSIDENCE,10.44,28.55,4.08,2.543,64.68,36.2,90.4,96.4,0.745,3.654,1.374,100.0,CRITICAL
N2,WARNING,3.3,3.13,2.37,0.18,20.19,33.0,69.8,69.5,0.281,0.239,0.167,38.2,MEDIUM
N1,NORMAL,0.61,0.63,0.58,0.098,1.63,36.3,75.3,94.3,0.007,0.052,0.001,8.3,LOW
N6,SUBSIDENCE,9.46,36.35,9.66,1.536,65.51,39.3,87.8,63.2,0.336,4.199,0.734,100.0,CRITICAL
N3,SUBSIDENCE,9.11,18.02,8.39,1.635,103.71,32.8,75.5,72.8,1.05,3.277,0.601,100.0,CRITICAL
N1,NORMAL,0.37,1.14,0.66,0.056,4.76,24.3,92.7,92.4,0.006,0.048,0.002,9.3,LOW
N6,NORMAL,0.86,2.19,0.8,0.124,3.93,25.2,90.8,66.3,0.02,0.055,0.016,13.2,LOW
N5,NORMAL,1.05,0.92,0.33,0.032,4.2,27.9,94.6,62.6,0.009,0.063,0.013,8.8,LOW
N4,NORMAL,0.77,1.3,0.25,0.046,3.16,37.8,65.5,80.3,0.046,0.011,0.004,6.9,LOW
N5,NORMAL,0.67,0.81,0.66,0.171,1.15,24.7,87.3,74.5,0.037,0.065,0.009,12.5,LOW
N2,WARNING,1.72,7.72,3.32,0.728,12.69,37.2,94.2,98.1,0.259,0.525,0.246,52.1,HIGH
N5,NORMAL,0.11,1.9,0.27,0.133,4.86,27.5,71.8,62.4,0.002,0.057,0.015,8.3,LOW
N1,NORMAL,0.2,1.71,0.51,0.025,4.79,33.2,75.9,88.1,0.033,0.052,0.005,8.9,LOW
N6,NORMAL,0.85,0.41,0.91,0.098,0.75,33.2,70.0,99.6,0.048,0.044,0.014,10.4,LOW
N5,NORMAL,0.61,1.11,0.92,0.105,2.94,25.0,91.9,68.0,0.042,0.024,0.003,9.8,LOW
N1,SUBSIDENCE,6.12,18.57,9.48,3.055,106.56,31.6,92.8,80.1,0.794,2.308,1.214,100.0,CRITICAL
N2,NORMAL,0.48,2.43,0.43,0.057,-0.76,35.6,81.4,72.7,0.05,0.075,0.008,7.8,LOW
N6,NORMAL,0.92,1.92,0.5,0.027,-1.46,35.7,86.6,95.9,0.039,0.082,0.014,6.7,LOW
N5,WARNING,1.55,4.63,2.39,0.35,26.76,31.2,80.7,84.0,0.278,0.389,0.237,41.9,MEDIUM
N4,NORMAL,0.4,1.08,0.55,0.171,2.5,30.9,93.2,82.0,0.017,0.001,0.02,8.3,LOW
N4,NORMAL,0.77,1.84,0.32,0.132,1.69,32.6,66.6,64.1,0.034,0.084,0.004,9.6,LOW
N6,NORMAL,0.84,0.36,0.6,0.055,0.13,32.9,93.5,61.9,0.006,0.025,0.016,7.8,LOW
N4,NORMAL,0.97,1.81,0.26,0.137,3.02,28.7,79.0,95.8,0.023,0.069,0.009,8.8,LOW
N5,NORMAL,0.52,1.13,0.61,0.14,3.14,31.3,81.8,89.3,0.001,0.069,0.009,9.6,LOW
N5,NORMAL,1.01,1.69,0.56,0.08,-1.03,34.5,67.1,94.2,0.048,0.046,0.011,7.7,LOW
N6,NORMAL,0.98,1.98,0.02,0.104,-1.62,33.7,78.5,92.5,0.028,0.072,0.002,9.9,LOW
N5,SUBSIDENCE,8.04,20.44,9.98,3.846,68.97,37.4,87.8,68.8,0.909,0.948,0.705,100.0,CRITICAL
N1,NORMAL,0.55,0.65,0.95,0.116,3.28,24.5,94.3,94.8,0.036,0.087,0.019,9.8,LOW
N2,NORMAL,0.52,2.13,0.74,0.147,-0.46,37.3,84.9,80.5,0.032,0.003,0.017,11.1,LOW
N4,WARNING,2.87,4.29,2.88,0.59,9.28,36.4,74.4,61.7,0.085,0.601,0.119,43.2,MEDIUM
N1,NORMAL,0.81,1.77,0.55,0.129,1.67,27.0,68.0,69.4,0.035,0.004,0.007,8.2,LOW
N6,WARNING,1.64,7.85,1.86,0.312,30.05,29.8,74.8,71.5,0.155,0.395,0.122,44.9,MEDIUM
N4,NORMAL,1.07,0.57,0.18,0.111,0.41,35.1,72.0,99.2,0.021,0.081,0.018,7.8,LOW
N1,SUBSIDENCE,6.59,14.26,12.99,3.252,41.25,35.2,77.0,76.6,1.251,3.975,0.577,100.0,CRITICAL
N5,NORMAL,0.41,1.64,0.36,0.153,4.74,30.1,86.9,99.1,0.047,0.016,0.0,8.2,LOW
N6,NORMAL,0.96,1.54,0.03,0.152,-0.76,25.8,76.6,63.4,0.003,0.085,0.011,7.4,LOW
N6,NORMAL,0.8,0.85,0.87,0.077,1.46,34.3,72.3,80.2,0.003,0.028,0.014,6.3,LOW
N4,SUBSIDENCE,10.45,22.06,6.41,2.24,80.05,38.8,77.3,66.5,0.311,2.09,1.009,100.0,CRITICAL
N5,NORMAL,0.69,0.86,0.21,0.114,4.41,27.2,73.7,96.8,0.042,0.018,0.015,11.5,LOW
N4,NORMAL,1.1,0.59,0.06,0.067,2.07,27.8,65.4,91.5,0.044,0.012,0.008,7.0,LOW
N3,NORMAL,0.99,0.71,0.15,0.043,1.25,27.0,87.5,66.0,0.012,0.051,0.008,5.4,LOW
N1,WARNING,3.04,5.59,3.5,0.183,27.48,28.5,74.6,94.5,0.063,0.765,0.182,48.6,MEDIUM
N3,NORMAL,1.09,2.25,0.81,0.151,2.01,29.6,82.0,69.2,0.001,0.009,0.013,9.0,LOW
N1,SUBSIDENCE,9.02,16.98,12.29,2.402,48.33,29.2,70.2,60.7,1.614,2.746,1.333,100.0,CRITICAL
N2,NORMAL,0.2,0.54,0.08,0.164,4.38,31.4,68.9,65.5,0.047,0.096,0.01,7.9,LOW
N6,NORMAL,0.95,2.17,0.78,0.154,-0.06,37.3,83.0,65.5,0.023,0.046,0.02,11.1,LOW
N4,NORMAL,0.38,1.04,0.87,0.047,-0.46,33.1,76.6,67.5,0.017,0.093,0.01,4.4,LOW
N2,NORMAL,0.35,2.05,0.89,0.099,0.5,28.9,85.5,82.9,0.04,0.067,0.001,9.7,LOW
N2,NORMAL,1.18,2.19,0.06,0.136,0.35,35.9,86.3,95.6,0.034,0.062,0.01,10.1,LOW
N6,NORMAL,0.41,1.0,0.62,0.175,0.6,35.2,86.9,98.6,0.002,0.045,0.011,8.8,LOW
N6,WARNING,3.0,4.14,2.92,0.563,34.94,32.2,69.1,86.2,0.085,0.234,0.056,46.9,MEDIUM
N1,NORMAL,0.98,1.2,0.56,0.166,1.99,26.2,83.4,100.0,0.01,0.034,0.011,13.2,LOW
N3,NORMAL,0.82,1.06,0.33,0.169,4.1,28.4,68.6,72.4,0.024,0.035,0.014,7.7,LOW
N5,NORMAL,0.58,0.79,0.22,0.021,2.42,29.7,65.8,68.8,0.031,0.019,0.019,4.2,LOW
N1,NORMAL,0.86,0.66,0.05,0.119,1.63,24.8,66.2,99.5,0.038,0.077,0.019,4.9,LOW
N5,NORMAL,0.81,1.85,0.1,0.031,-0.88,31.9,65.0,64.6,0.021,0.011,0.009,5.5,LOW
N2,NORMAL,0.51,0.32,0.13,0.057,1.01,36.0,84.5,61.7,0.036,0.013,0.015,4.2,LOW
N5,NORMAL,0.58,1.72,0.98,0.172,0.77,30.7,72.8,65.5,0.031,0.089,0.017,12.4,LOW
N3,SUBSIDENCE,7.65,34.75,21.46,3.723,50.32,34.8,73.2,69.4,1.38,1.87,1.104,100.0,CRITICAL
N1,SUBSIDENCE,4.38,9.87,19.45,0.922,41.66,28.2,86.5,72.8,0.658,4.084,0.666,100.0,CRITICAL
N6,NORMAL,0.47,1.9,0.25,0.163,1.93,32.0,69.7,68.3,0.027,0.026,0.017,10.1,LOW
N3,NORMAL,0.62,1.99,0.94,0.126,1.54,30.7,69.9,64.1,0.013,0.067,0.02,10.1,LOW
N3,WARNING,1.82,5.63,3.84,0.351,14.16,27.1,69.9,78.3,0.17,0.743,0.116,42.7,MEDIUM
N1,NORMAL,0.98,0.87,0.51,0.116,1.15,34.2,84.1,99.9,0.01,0.092,0.011,9.1,LOW
N6,NORMAL,0.6,1.18,0.36,0.078,-0.07,28.3,68.1,95.1,0.049,0.087,0.006,8.8,LOW
N3,NORMAL,0.51,1.52,0.9,0.085,3.65,29.5,94.7,84.5,0.022,0.07,0.009,12.2,LOW
N6,WARNING,2.04,3.92,1.12,0.583,16.16,34.9,79.7,95.4,0.255,0.355,0.106,33.7,MEDIUM
N4,WARNING,2.56,3.82,2.7,0.182,14.37,28.1,74.9,60.1,0.102,0.558,0.051,33.1,MEDIUM
N4,NORMAL,0.15,0.92,0.22,0.039,-0.92,36.7,65.9,73.8,0.042,0.068,0.01,1.7,LOW
N4,NORMAL,1.01,1.65,0.98,0.171,-0.81,37.8,66.1,86.4,0.049,0.095,0.007,14.0,LOW
N5,NORMAL,0.39,0.5,0.58,0.069,2.67,32.4,89.9,84.0,0.027,0.039,0.004,8.0,LOW
N3,WARNING,2.6,5.32,2.16,0.441,34.69,31.0,84.8,78.6,0.237,0.401,0.125,48.3,MEDIUM
N1,NORMAL,0.85,0.96,0.41,0.158,0.3,30.5,88.9,89.3,0.048,0.017,0.005,8.4,LOW
N1,NORMAL,0.29,0.74,0.58,0.067,0.96,26.3,77.0,63.3,0.024,0.059,0.005,6.8,LOW
N5,WARNING,2.41,7.12,1.36,0.244,7.41,29.0,74.9,63.7,0.262,0.156,0.246,36.4,MEDIUM
N1,NORMAL,0.74,1.55,0.49,0.07,0.58,33.5,73.9,74.0,0.016,0.043,0.007,10.7,LOW
N4,WARNING,2.2,2.52,2.48,0.326,6.68,35.6,70.0,94.0,0.278,0.326,0.118,31.4,MEDIUM
N3,NORMAL,0.37,1.55,0.69,0.165,2.25,33.6,70.6,82.3,0.023,0.057,0.004,10.4,LOW
N1,NORMAL,0.81,2.27,0.45,0.144,-0.83,32.9,87.4,71.8,0.008,0.052,0.012,9.9,LOW
N1,NORMAL,0.78,0.63,0.22,0.031,3.23,29.0,90.1,81.1,0.025,0.024,0.011,8.0,LOW
N2,WARNING,1.27,7.92,1.22,0.577,18.12,36.0,72.5,74.5,0.112,0.574,0.049,41.9,MEDIUM
N2,SUBSIDENCE,8.88,8.04,12.51,3.835,86.03,28.1,81.0,69.4,0.882,3.244,1.421,100.0,CRITICAL
N2,WARNING,3.16,6.47,3.4,0.718,11.97,32.8,88.9,74.0,0.062,0.304,0.112,47.7,MEDIUM
N3,NORMAL,0.62,2.01,0.23,0.055,2.12,34.6,82.5,62.2,0.022,0.095,0.007,8.1,LOW
N4,WARNING,1.39,3.62,1.43,0.368,22.37,32.4,77.3,96.1,0.201,0.511,0.047,32.4,MEDIUM
N6,NORMAL,1.1,1.97,0.7,0.038,-1.41,35.9,83.6,67.2,0.042,0.043,0.009,10.9,LOW
N4,NORMAL,0.33,0.21,0.71,0.098,4.65,31.0,92.7,69.9,0.036,0.01,0.003,6.2,LOW
N4,SUBSIDENCE,10.52,19.55,8.86,3.86,38.54,37.1,91.8,67.4,1.291,0.96,1.251,100.0,CRITICAL
N3,NORMAL,0.24,1.36,0.27,0.117,1.6,37.5,76.9,73.5,0.007,0.074,0.016,4.4,LOW
N3,NORMAL,0.31,0.62,0.32,0.177,-1.35,25.3,80.2,77.5,0.013,0.009,0.005,5.7,LOW
N2,NORMAL,0.29,0.6,0.63,0.082,-1.61,36.4,77.1,92.8,0.046,0.04,0.012,4.5,LOW
N1,NORMAL,1.11,0.6,0.89,0.039,-0.07,25.5,80.7,82.9,0.04,0.09,0.014,12.8,LOW
N5,NORMAL,0.41,2.48,0.34,0.054,-1.23,34.8,69.1,77.6,0.019,0.069,0.005,8.4,LOW
N5,NORMAL,0.87,0.51,0.6,0.148,2.17,26.5,85.7,63.2,0.026,0.084,0.02,6.1,LOW
N6,NORMAL,0.15,0.85,0.97,0.108,-0.12,28.3,90.7,84.2,0.007,0.092,0.007,8.7,LOW
N1,SUBSIDENCE,4.93,23.6,20.71,3.859,40.26,36.0,73.9,90.3,0.703,1.372,0.917,100.0,CRITICAL
N6,WARNING,2.74,6.51,3.84,0.422,15.28,35.9,66.7,60.3,0.221,0.665,0.064,47.4,MEDIUM
N2,NORMAL,0.27,2.45,0.52,0.027,4.98,25.5,80.5,90.9,0.037,0.084,0.004,7.7,LOW
N6,NORMAL,0.8,1.65,0.76,0.056,2.63,35.1,91.9,71.3,0.02,0.007,0.004,7.8,LOW
N1,NORMAL,0.31,0.26,0.95,0.129,4.7,31.0,65.8,66.0,0.043,0.034,0.002,10.5,LOW
N1,NORMAL,0.36,1.73,0.51,0.068,1.95,27.0,83.2,80.1,0.006,0.076,0.014,5.8,LOW
N5,NORMAL,0.17,0.84,1.0,0.036,1.54,36.5,74.1,86.1,0.042,0.03,0.005,6.6,LOW
N2,WARNING,2.9,6.84,3.98,0.638,24.71,34.9,70.8,88.4,0.274,0.734,0.244,59.2,HIGH
N3,NORMAL,0.18,0.93,0.12,0.172,0.37,31.9,84.8,95.3,0.036,0.057,0.002,4.9,LOW
N6,NORMAL,0.18,0.88,0.69,0.025,-0.58,32.4,94.0,91.7,0.011,0.067,0.006,5.4,LOW
N5,NORMAL,0.47,1.29,0.2,0.023,0.03,37.3,67.1,84.6,0.018,0.056,0.019,6.0,LOW
N6,NORMAL,0.15,1.69,0.12,0.171,4.05,30.9,83.1,87.1,0.001,0.078,0.013,6.4,LOW
N6,SUBSIDENCE,11.02,36.39,14.36,3.595,109.02,39.2,68.5,77.3,0.75,1.238,1.164,100.0,CRITICAL
N3,WARNING,1.34,6.77,3.85,0.464,17.29,29.5,81.8,81.1,0.277,0.193,0.225,43.6,MEDIUM
N2,NORMAL,0.78,2.37,0.95,0.153,-0.66,31.3,94.3,99.4,0.017,0.049,0.018,11.1,LOW
N1,SUBSIDENCE,8.59,40.47,21.99,3.682,84.27,28.5,68.5,95.7,1.568,1.106,1.044,100.0,CRITICAL
N4,NORMAL,0.8,0.76,0.39,0.176,4.04,33.7,86.4,96.5,0.001,0.098,0.007,10.3,LOW
N6,SUBSIDENCE,11.02,18.42,15.58,2.108,74.42,28.4,83.2,90.4,1.132,2.266,0.83,100.0,CRITICAL
N4,WARNING,2.19,7.88,1.17,0.516,22.51,31.6,78.1,76.6,0.059,0.257,0.228,44.0,MEDIUM
N2,NORMAL,1.08,1.04,0.86,0.069,1.72,31.4,65.8,79.3,0.007,0.083,0.015,8.9,LOW
N4,NORMAL,0.35,1.15,0.86,0.143,-0.31,31.4,92.0,85.4,0.049,0.09,0.011,9.1,LOW
N6,NORMAL,0.69,1.92,0.24,0.161,1.72,30.0,77.4,91.1,0.03,0.009,0.006,6.3,LOW
N3,NORMAL,0.41,0.62,0.58,0.118,-1.15,36.6,77.0,86.1,0.0,0.092,0.002,6.9,LOW
N4,WARNING,1.63,7.03,1.54,0.4,12.14,28.3,88.2,95.1,0.259,0.701,0.106,41.4,MEDIUM
N2,NORMAL,0.79,2.33,0.38,0.044,-0.74,28.1,80.9,64.9,0.033,0.041,0.003,6.7,LOW
N2,NORMAL,0.1,2.31,0.3,0.055,2.89,36.1,80.3,75.2,0.043,0.063,0.005,10.4,LOW
N3,WARNING,2.59,6.35,2.78,0.705,23.84,31.5,67.6,69.2,0.27,0.511,0.096,53.9,HIGH
N4,SUBSIDENCE,10.01,32.47,7.0,2.261,45.65,34.0,79.2,71.1,1.584,1.204,1.068,100.0,CRITICAL
N4,NORMAL,0.54,2.05,0.76,0.138,3.25,35.7,85.4,84.2,0.007,0.01,0.017,12.1,LOW
N1,NORMAL,0.5,0.72,0.67,0.166,1.06,31.3,94.6,92.6,0.015,0.027,0.0,6.7,LOW
N5,NORMAL,1.09,1.63,0.48,0.178,1.13,31.0,76.5,65.4,0.046,0.076,0.007,10.8,LOW
N2,NORMAL,0.49,2.24,0.75,0.064,0.58,33.8,79.0,67.6,0.031,0.042,0.01,7.8,LOW
N1,SUBSIDENCE,7.92,21.18,9.23,1.882,67.93,32.1,65.1,73.6,1.63,3.516,1.085,100.0,CRITICAL
N2,NORMAL,0.99,1.09,0.56,0.053,4.41,25.1,83.0,67.1,0.046,0.015,0.014,10.5,LOW
N1,NORMAL,0.26,0.21,0.94,0.153,-1.46,36.2,68.4,84.1,0.03,0.023,0.005,8.0,LOW
N5,NORMAL,0.54,0.64,0.45,0.17,3.47,27.9,75.0,65.1,0.007,0.085,0.019,8.4,LOW
N1,NORMAL,0.48,1.75,0.27,0.021,0.37,24.9,79.1,70.7,0.023,0.057,0.014,10.9,LOW
N2,WARNING,3.38,4.48,1.3,0.204,12.96,28.4,82.3,89.2,0.095,0.555,0.215,35.9,MEDIUM
N4,WARNING,2.12,2.86,1.69,0.683,29.73,30.8,87.8,68.4,0.072,0.257,0.197,39.0,MEDIUM
N2,NORMAL,1.15,2.0,0.2,0.109,-1.21,33.2,72.3,88.8,0.018,0.066,0.007,9.9,LOW
N6,NORMAL,0.5,2.02,0.14,0.078,1.25,37.8,70.8,90.7,0.021,0.043,0.009,7.6,LOW
N3,NORMAL,0.71,1.15,0.63,0.157,1.27,28.7,76.6,82.8,0.043,0.009,0.013,10.6,LOW
N3,SUBSIDENCE,7.58,22.13,9.55,2.883,72.92,36.7,71.4,70.5,0.785,1.558,1.218,100.0,CRITICAL
N6,SUBSIDENCE,5.53,40.73,17.93,1.007,97.45,37.6,88.4,78.3,0.355,1.737,1.399,100.0,CRITICAL
N3,NORMAL,0.45,2.23,0.66,0.067,1.24,34.3,66.2,84.2,0.044,0.09,0.013,7.3,LOW
N3,WARNING,2.78,2.61,3.53,0.709,12.14,35.8,73.6,91.6,0.261,0.566,0.154,46.3,MEDIUM
N5,WARNING,1.92,6.83,2.35,0.247,16.45,34.9,91.4,97.1,0.108,0.17,0.045,35.4,MEDIUM
N4,NORMAL,1.04,2.11,0.07,0.146,3.48,36.6,85.9,98.0,0.007,0.066,0.009,12.2,LOW
N4,SUBSIDENCE,4.39,9.5,21.52,1.027,63.96,25.9,80.6,78.8,1.275,4.056,0.568,100.0,CRITICAL
N2,NORMAL,0.44,2.21,0.75,0.157,-0.87,26.4,94.9,81.1,0.035,0.098,0.012,8.8,LOW
N6,NORMAL,1.02,0.54,0.67,0.166,1.72,29.0,86.3,67.1,0.014,0.013,0.006,9.2,LOW
N1,NORMAL,0.22,1.09,0.46,0.121,2.95,29.1,65.0,83.2,0.044,0.029,0.011,7.7,LOW
N2,NORMAL,1.0,0.28,0.0,0.136,2.79,27.5,72.4,67.4,0.02,0.066,0.019,8.2,LOW
N2,NORMAL,0.9,1.01,0.99,0.134,0.57,36.7,78.2,71.7,0.007,0.059,0.006,8.6,LOW
N2,WARNING,2.55,3.25,2.68,0.212,23.21,24.6,78.8,77.8,0.183,0.465,0.177,40.8,MEDIUM
N2,NORMAL,0.61,2.45,0.14,0.13,0.81,34.7,67.1,79.3,0.026,0.076,0.003,7.5,LOW
N4,WARNING,2.91,3.56,3.31,0.275,28.98,29.7,72.0,94.7,0.167,0.579,0.231,46.2,MEDIUM
N1,NORMAL,0.28,1.65,0.92,0.128,-0.63,26.2,88.9,74.3,0.008,0.025,0.008,7.9,LOW
N2,NORMAL,1.13,2.14,0.91,0.067,2.02,35.5,67.8,71.0,0.016,0.026,0.012,13.3,LOW
N4,NORMAL,0.33,2.04,0.93,0.033,0.65,25.4,78.3,80.1,0.046,0.034,0.014,6.7,LOW
N2,NORMAL,0.93,0.86,0.26,0.068,1.89,36.3,67.9,76.6,0.044,0.083,0.001,9.2,LOW
N3,WARNING,2.96,2.95,1.12,0.368,26.9,34.7,88.6,78.4,0.18,0.392,0.207,39.2,MEDIUM
N2,NORMAL,0.12,0.6,0.74,0.141,4.81,26.6,80.9,99.0,0.01,0.012,0.003,8.1,LOW
N6,NORMAL,0.75,1.4,0.67,0.032,3.71,32.3,66.9,70.7,0.032,0.017,0.013,7.9,LOW
N6,NORMAL,0.53,0.76,0.24,0.112,1.3,32.1,90.4,85.3,0.033,0.096,0.013,6.7,LOW
N2,WARNING,1.58,4.23,3.2,0.601,34.61,31.9,92.6,71.5,0.207,0.73,0.033,50.5,HIGH
N5,SUBSIDENCE,4.82,20.97,18.26,1.042,80.03,28.2,66.0,77.1,0.503,2.411,1.457,100.0,CRITICAL
N3,WARNING,2.53,4.14,2.63,0.723,14.35,24.0,83.5,99.9,0.127,0.438,0.139,41.5,MEDIUM
N1,NORMAL,0.42,1.65,0.0,0.117,1.13,34.8,81.7,70.8,0.027,0.054,0.004,5.9,LOW
N2,NORMAL,1.13,0.23,0.73,0.081,1.66,34.2,86.3,86.2,0.015,0.032,0.0,7.4,LOW
N1,NORMAL,1.07,2.27,0.56,0.13,-1.92,31.6,92.2,67.3,0.042,0.082,0.0,11.2,LOW
N3,NORMAL,0.49,0.96,0.36,0.027,-0.05,30.3,76.4,64.8,0.015,0.087,0.007,3.1,LOW
N2,NORMAL,1.19,2.1,0.54,0.096,2.54,37.8,70.5,81.1,0.016,0.005,0.008,9.2,LOW
N5,NORMAL,0.11,0.48,0.59,0.068,4.34,35.1,65.6,80.2,0.02,0.021,0.011,8.6,LOW
N4,NORMAL,0.95,0.44,0.9,0.062,-0.81,30.9,68.3,96.5,0.029,0.018,0.014,7.2,LOW
N5,NORMAL,0.84,1.46,0.37,0.042,2.95,30.8,75.5,91.6,0.041,0.013,0.01,7.7,LOW
N5,WARNING,1.43,3.63,1.0,0.393,13.74,34.4,85.3,71.3,0.267,0.622,0.039,35.9,MEDIUM
N4,NORMAL,0.12,0.46,0.25,0.151,1.26,35.8,68.5,61.4,0.046,0.079,0.006,4.9,LOW
N4,NORMAL,0.77,0.99,0.33,0.13,3.95,33.1,71.1,96.5,0.016,0.033,0.011,8.1,LOW
N6,WARNING,2.71,5.94,3.71,0.697,9.07,33.3,77.3,87.3,0.086,0.633,0.24,50.1,HIGH
N4,NORMAL,0.35,2.5,0.43,0.169,1.02,37.3,84.4,87.1,0.046,0.034,0.015,11.3,LOW
N2,WARNING,1.44,5.11,3.66,0.317,28.65,30.0,68.8,96.5,0.219,0.256,0.085,40.6,MEDIUM
N1,NORMAL,0.91,1.04,0.3,0.13,0.97,25.0,76.1,98.5,0.011,0.043,0.017,11.1,LOW
N6,NORMAL,0.12,2.25,0.37,0.05,-1.9,28.7,66.3,87.7,0.004,0.017,0.001,6.6,LOW
N6,WARNING,3.08,7.38,2.65,0.72,5.17,36.4,83.5,75.3,0.084,0.305,0.201,47.4,MEDIUM
N1,WARNING,2.73,3.49,2.37,0.469,8.15,28.7,78.1,98.3,0.058,0.625,0.143,36.6,MEDIUM
N6,WARNING,2.09,3.07,2.39,0.549,5.36,28.2,85.0,97.8,0.133,0.375,0.127,33.5,MEDIUM
N4,NORMAL,1.11,1.73,0.51,0.152,3.85,37.8,93.8,82.6,0.041,0.016,0.001,12.9,LOW
N5,NORMAL,1.19,1.97,0.52,0.082,2.15,35.7,89.4,62.9,0.026,0.099,0.01,10.7,LOW
N3,NORMAL,0.2,1.72,0.26,0.125,-0.99,25.2,94.1,75.8,0.02,0.01,0.006,7.4,LOW
